,lp,substancja_czynna,nazwa,postac,dawka,zawartosc_opakowania,ean,grupa_limitowana,cena_hurtowa,cena_detaliczna,wysokosc_limitu,zakres_wskazan,poziom_odplatnosci,wysokosc_doplaty
1496,1748,Glimepiridum,Symglic, tabl., 1 mg,30 szt. (3 blist.po 10 szt.),5909990570348,"16.0, Doustne leki przeciwcukrzycowe - pochodne sulfonylomocznika",286,411,411,Cukrzyca,ryczałt,320
1497,1749,Glimepiridum,Symglic, tabl., 2 mg,30 szt. (3 blist.po 10 szt.),5909990570355,"16.0, Doustne leki przeciwcukrzycowe - pochodne sulfonylomocznika",585,822,822,Cukrzyca,ryczałt,320
1498,1750,Glimepiridum,Symglic, tabl., 3 mg,30 szt. (3 blist.po 10 szt.),5909990570362,"16.0, Doustne leki przeciwcukrzycowe - pochodne sulfonylomocznika",806,1137,1137,Cukrzyca,ryczałt,480
1499,1751,Glimepiridum,Symglic, tabl., 4 mg,30 szt. (3 blist.po 10 szt.),5909990573196,"16.0, Doustne leki przeciwcukrzycowe - pochodne sulfonylomocznika",1134,1533,1533,Cukrzyca,ryczałt,640
1500,1752,Glimepiridum,Symglic, tabl., 6 mg,30 szt. (3 blist.po 10 szt.),5909990570379,"16.0, Doustne leki przeciwcukrzycowe - pochodne sulfonylomocznika",1870,2393,2393,Cukrzyca,ryczałt,960
1501,1753,Glipizidum,Glipizide BP, tabl., 5 mg,30 szt. (3 blist.po 10 szt.),5909990791712,"16.0, Doustne leki przeciwcukrzycowe - pochodne sulfonylomocznika",562,687,412,Cukrzyca,ryczałt,595
1502,1754,Glucagonum,GlucaGen 1 mg HypoKit, proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań, 1 mg,1 fiol.,5909990693313,"85.0, Hormony trzustki - glukagon",5440,6434,6434,Cukrzyca,ryczałt,320
1503,1757,Glyceroli trinitras,Sustonit, tabl. o przedłużonym uwalnianiu, 6.5 mg,30 tabl. (3 blist.po 10 szt.),5909990183036,"33.1, Leki rozszerzające naczynia krwionośne - organiczne azotany - trójazotan glicerolu - do podawania doustnego",601,830,830,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,416
1504,1758,Glycopyrronii bromidum,Seebri Breezhaler, proszek do inhalacji w kaps. twardej, 44 µg,30x1 kapsułka (dawka pojedyncza) + 1 inhalator,5909991000882,"201.2, Wziewne leki antycholinergiczne o długim działaniu - produkty jednoskładnikowe",11170,12468,10256,Przewlekła obturacyjna choroba płuc – leczenie podtrzymujące u pacjentów powyżej 18 roku życia,30%,5289
1505,1759,Goserelinum,Reseligo, implant w amp.-strz., 10.8 mg,1 szt.,5909991256210,"129.0, Leki przeciwnowotworowe i immunomodulujące - analogi hormonu uwalniającego gonadotropinę",50123,52564,52560,Nowotwory złośliwe - Rak prostaty,ryczałt,900
1506,1760,Goserelinum,Reseligo, implant w amp.-strz., 3.6 mg,1 szt.,5909991256197,"129.0, Leki przeciwnowotworowe i immunomodulujące - analogi hormonu uwalniającego gonadotropinę",15876,17520,17520,<2>Nowotwory złośliwe - Rak piersi i rak trzonu macicy; Nowotwory złośliwe - Rak prostaty,ryczałt,320
1507,1761,Goserelinum,Reseligo, implant w amp.-strz., 3.6 mg,1 szt.,5909991256197,"129.0, Leki przeciwnowotworowe i immunomodulujące - analogi hormonu uwalniającego gonadotropinę",15876,17520,17520,"<1>Zahamowanie czynności przysadki u pacjentek w wieku poniżej 40 roku życia, w przygotowaniu do kontrolowanej hiperstymulacji jajników – refundacja do 3 cykli",ryczałt,320
1508,1762,Goserelinum,Xanderla, implant w amp.-strz., 3.6 mg,1 amp.-strzyk.,5909991335564,"129.0, Leki przeciwnowotworowe i immunomodulujące - analogi hormonu uwalniającego gonadotropinę",15876,17520,17520,"<1>Nowotwory złośliwe - Rak piersi i rak trzonu macicy; Nowotwory złośliwe - Rak prostaty; <2>Zahamowanie czynności przysadki u pacjentek w wieku poniżej 40 roku życia, w przygotowaniu do kontrolowanej hiperstymulacji jajników – refundacja do 3 cykli",ryczałt,320
1509,1763,Goserelinum,Xanderla LA, implant w amp.-strz., 10.8 mg,1 amp.-strzyk.,5909991335595,"129.0, Leki przeciwnowotworowe i immunomodulujące - analogi hormonu uwalniającego gonadotropinę",47628,50069,50069,Nowotwory złośliwe - Rak prostaty,ryczałt,896
1510,1764,Goserelinum,Zoladex, implant podskórny, 3.6 mg,1 amp.-strz.,5909990082315,"129.0, Leki przeciwnowotworowe i immunomodulujące - analogi hormonu uwalniającego gonadotropinę",24381,26025,17520,<2>Nowotwory złośliwe - Rak piersi i rak trzonu macicy; Nowotwory złośliwe - Rak prostaty;,ryczałt,8825
1511,1765,Goserelinum,Zoladex, implant podskórny, 3.6 mg,1 amp.-strz.,5909990082315,"129.0, Leki przeciwnowotworowe i immunomodulujące - analogi hormonu uwalniającego gonadotropinę",24381,26025,17520,"<1>Zahamowanie czynności przysadki u pacjentek w wieku poniżej 40 roku życia, w przygotowaniu do kontrolowanej hiperstymulacji jajników – refundacja do 3 cykli",ryczałt,8825
1512,1766,Goserelinum,Zoladex LA, implant podskórny, 10.8 mg,1 amp.-strz.,5909990783212,"129.0, Leki przeciwnowotworowe i immunomodulujące - analogi hormonu uwalniającego gonadotropinę",81231,83672,52560,Nowotwory złośliwe - Rak prostaty,ryczałt,32008
1513,1767,Haloperidolum,Decaldol, roztwór do wstrzykiwań, 50 mg/ml,5 amp.po 1 ml,5909990077311,"177.3, Leki przeciwpsychotyczne - haloperydol do podawania pozajelitowego",2880,3562,3562,x,30%,1069
1514,1768,Haloperidolum,Decaldol, roztwór do wstrzykiwań, 50 mg/ml,5 amp.po 1 ml,5909990077311,"177.3, Leki przeciwpsychotyczne - haloperydol do podawania pozajelitowego",2880,3562,3562,Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,0
1515,1771,Haloperidolum,Haloperidol WZF, tabl., 1 mg,40 tabl. (2 blist.po 20 szt.),5909990104017,"177.2, Leki przeciwpsychotyczne - haloperydol do podawania doustnego - stałe postacie farmaceutyczne",437,552,385,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,283
1516,1772,Haloperidolum,Haloperidol WZF, tabl., 1 mg,40 tabl. (2 blist.po 20 szt.),5909990104017,"177.2, Leki przeciwpsychotyczne - haloperydol do podawania doustnego - stałe postacie farmaceutyczne",437,552,385,Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,167
1517,1773,Haloperidolum,Haloperidol WZF, tabl., 5 mg,30 tabl. (2 blist.po 15 szt.),5909990722617,"177.2, Leki przeciwpsychotyczne - haloperydol do podawania doustnego - stałe postacie farmaceutyczne",1077,1442,1442,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,433
1518,1774,Haloperidolum,Haloperidol WZF, tabl., 5 mg,30 tabl. (2 blist.po 15 szt.),5909990722617,"177.2, Leki przeciwpsychotyczne - haloperydol do podawania doustnego - stałe postacie farmaceutyczne",1077,1442,1442,Choroby psychiczne lub upośledzenia umysłowe,bezpłatny do limitu,0
1519,1778,Hydrocortisonum,Hydrocortisonum AFP, krem, 10 mg/g,1 tuba po 15 g,5909990950317,"55.0, Kortykosteroidy do stosowania na skórę - o słabej i średniej sile działania",317,464,464,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,50%,232
1520,1779,Hydrocortisonum,Hydrocortisonum-SF, tabl., 10 mg,60 szt.,5909991218140,"82.7, Kortykosteroidy do stosowania ogólnego - glikokortykoidy do podawania doustnego - hydrokortyzon",1394,1823,1823,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,547
1521,1780,Hydroxycarbamidum,Hydroxycarbamid Teva, kaps., 500 mg,100 szt. (1 but.po 250 ml),5909990836758,"126.0, Leki przeciwnowotworowe i immunomodulujące - inne - hydroksymocznik",6781,7909,7909,Nowotwory złośliwe,bezpłatny do limitu,0
1522,1781,Hydroxycarbamidum,Hydroxyurea medac, kaps. twarde, 500 mg,100 szt.,5909990944927,"126.0, Leki przeciwnowotworowe i immunomodulujące - inne - hydroksymocznik",9043,10171,7909,Nowotwory złośliwe,bezpłatny do limitu,2262
1523,1782,Ibuprofenum,Ibuprofen Hasco, kaps. miękkie, 200 mg,60 szt.,5909990853540,"141.1, Niesteroidowe leki przeciwzapalne do stosowania doustnego - produkty jednoskładnikowe i skojarzone z inhibitorami pompy protonowej - stałe postacie farmaceutyczne",467,616,511,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,425
1524,1783,Ibuprofenum,Ibuprofen Polfarmex, tabl. powl., 200 mg,60 szt. (6 blist.po 10 szt.),5909990830732,"141.1, Niesteroidowe leki przeciwzapalne do stosowania doustnego - produkty jednoskładnikowe i skojarzone z inhibitorami pompy protonowej - stałe postacie farmaceutyczne",543,692,511,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,501
1525,1784,Ibuprofenum,Ibuprofen-Pabi, tabl. drażowane, 200 mg,60 szt. (3 blist.po 20 szt.),5909990132928,"141.1, Niesteroidowe leki przeciwzapalne do stosowania doustnego - produkty jednoskładnikowe i skojarzone z inhibitorami pompy protonowej - stałe postacie farmaceutyczne",543,692,511,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,501
1526,1785,Icatibantum,Firazyr, roztwór do wstrzykiwań, 10 mg/ml,1 amp.-strz.po 3 ml,5909990740635,"241.2, Leki stosowane w dziedzicznym obrzęku naczynioruchowym - ikatybant",533975,543500,543500,Leczenie ostrych zagrażających życiu napadów obrzęku naczynioruchowego u chorych dorosłych na dziedziczny obrzęk naczynioruchowy wywołany niedoborem inhibitora esterazy C1,ryczałt,320
1527,1786,Imidaprilum,Tanatril, tabl., 10 mg,28 tabl. (2 blist.po 14 szt.),5909991069919,"44.0, Inhibitory konwertazy angiotensyny - produkty jednoskładnikowe i złożone",1860,2012,533,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,1799
1528,1787,Imidaprilum,Tanatril, tabl., 20 mg,28 tabl. (2 blist.po 14 szt.),5909991070014,"44.0, Inhibitory konwertazy angiotensyny - produkty jednoskładnikowe i złożone",3277,3556,1066,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,3087
1529,1788,Imidaprilum,Tanatril, tabl., 5 mg,28 tabl. (2 blist.po 14 szt.),5909991069810,"44.0, Inhibitory konwertazy angiotensyny - produkty jednoskładnikowe i złożone",819,895,266,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,ryczałt,895
1530,1789,Indacaterolum + Glycopyrronii bromidum,Ultibro Breezhaler, proszek do inhalacji w kaps. twardej, 85+43 µg,30 szt. + inhal.,5909991080921,"201.3, Wziewne leki antycholinergiczne o długim działaniu - produkty złożone z lekami beta-2-adrenergicznymi o długim działaniu",15717,17353,17353,Przewlekła obturacyjna choroba płuc – leczenie podtrzymujące u pacjentów powyżej 18 roku życia,30%,5206
1531,1790,Indapamidum,Diuresin SR, tabl. powl. o przedłużonym uwalnianiu, 1.5 mg,30 szt. (3 blist.po 10 szt.),5909990975815,"36.0, Leki moczopędne - tiazydowe i sulfonamidowe",669,878,738,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,361
1532,1791,Indapamidum,Diuresin SR, tabl. powl. o przedłużonym uwalnianiu, 1.5 mg,60 szt.,5909991276621,"36.0, Leki moczopędne - tiazydowe i sulfonamidowe",1267,1629,1476,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,596
1533,1792,Indapamidum,Indapamide KRKA, tabl. o przedłużonym uwalnianiu, 1.5 mg,30 szt.,5909990957125,"36.0, Leki moczopędne - tiazydowe i sulfonamidowe",529,738,738,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,221
1534,1793,Indapamidum,Indapamide SR, tabl. o przedłużonym uwalnianiu, 1.5 mg,30 szt.,5909990644933,"36.0, Leki moczopędne - tiazydowe i sulfonamidowe",470,679,679,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,204
1535,1794,Indapamidum,Indapamide SR Genoptim, tabl. o przedłużonym uwalnianiu, 1.5 mg,30 szt.,5909990799398,"36.0, Leki moczopędne - tiazydowe i sulfonamidowe",499,708,708,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,212
1536,1795,Indapamidum,Indapen, tabl. powl., 2.5 mg,20 szt.,5909990863013,"36.0, Leki moczopędne - tiazydowe i sulfonamidowe",679,905,820,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,331
1537,1796,Indapamidum,Indapen SR, tabl. o przedłużonym uwalnianiu, 1.5 mg,30 tabl. (3 blist.po 10 szt.),5909990665907,"36.0, Leki moczopędne - tiazydowe i sulfonamidowe",634,843,738,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,326
1538,1797,Indapamidum,Indapres, tabl. powl., 2.5 mg,30 szt.,5909990223121,"36.0, Leki moczopędne - tiazydowe i sulfonamidowe",680,995,995,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,299
1539,1798,Indapamidum,Indix SR, tabl. o przedł. uwalnianiu, 1.5 mg,30 szt.,5909991025014,"36.0, Leki moczopędne - tiazydowe i sulfonamidowe",529,738,738,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,221
1540,1799,Indapamidum,Indix SR, tabletki o przedłużonym uwalnianiu, 1.5 mg,90 tabl.,5908289660401,"36.0, Leki moczopędne - tiazydowe i sulfonamidowe",1588,2056,2056,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,617
1541,1801,Indapamidum,Ivipamid, tabl. o przedłużonym uwalnianiu, 1.5 mg,30 szt.,5909990834730,"36.0, Leki moczopędne - tiazydowe i sulfonamidowe",442,651,651,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,195
1542,1802,Indapamidum,Opamid, tabl. o przedłużonym uwalnianiu, 1.5 mg,30 szt. (3 blist.po 10 szt.),5909990770182,"36.0, Leki moczopędne - tiazydowe i sulfonamidowe",652,861,738,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,344
1543,1803,Indapamidum,Rawel SR, tabl. powl. o przedłużonym uwalnianiu, 1.5 mg,30 szt. (3 blist.po 10 szt.),5909990424801,"36.0, Leki moczopędne - tiazydowe i sulfonamidowe",512,721,721,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,216
1544,1804,Indapamidum,Rawel SR, tabl. powl. o przedłużonym uwalnianiu, 1.5 mg,60 szt. (6 blist.po 10 szt.),5909990424849,"36.0, Leki moczopędne - tiazydowe i sulfonamidowe",1025,1387,1387,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,416
1545,1805,Indapamidum,Symapamid SR, tabl. o przedłużonym uwalnianiu, 1.5 mg,30 szt. (3 blist.po 10 szt.),5909990734993,"36.0, Leki moczopędne - tiazydowe i sulfonamidowe",510,719,719,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,216
1546,1806,Indapamidum,Tertensif SR, tabl. powl. o przedłużonym uwalnianiu, 1.5 mg,30 szt. (1 blist.po 30 szt.),5909990738212,"36.0, Leki moczopędne - tiazydowe i sulfonamidowe",1069,1278,738,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,30%,761
1547,1809,"Inhibitor C1-esterazy, ludzki",Berinert 1500, proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań, 1500 j.m.,1 fiol.z proszkiem + 1 fiol.z wodą do wstrzykiwań po 3 ml,5909991213053,"241.1, Leki stosowane w dziedzicznym obrzęku naczynioruchowym – ludzki inhibitor C1-esterazy",693668,705189,705189,"Przerywanie ostrego, zagrażającego życiu ataku wrodzonego obrzęku naczynioruchowego, obejmującego gardło, krtań lub jamę brzuszną; Przedzabiegowe zapobieganie stanom ostrym wrodzonego obrzęku naczynioruchowego (zabiegi stomatologiczne, zabiegi na twarzoczaszce, zabiegi chirurgiczne, zabiegi diagnostyczne z użyciem instrumentów, poród)",ryczałt,320
1548,1810,"Inhibitor C1-esterazy, ludzki",Berinert 500, proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań lub infuzji, 500 j.m.,1 fiol. z prosz. + 1 fiol. z rozp. + 1 zestaw do podawania,5909990713639,"241.1, Leki stosowane w dziedzicznym obrzęku naczynioruchowym – ludzki inhibitor C1-esterazy",231223,236963,235041,"Przerywanie ostrego, zagrażającego życiu ataku wrodzonego obrzęku naczynioruchowego, obejmującego gardło, krtań lub jamę brzuszną; Przedzabiegowe zapobieganie stanom ostrym wrodzonego obrzęku naczynioruchowego (zabiegi stomatologiczne, zabiegi na twarzoczaszce, zabiegi chirurgiczne, zabiegi diagnostyczne z użyciem instrumentów, poród)",ryczałt,2242
1549,1811,Insulini iniectio neutralis + Insulinum isophanum,Insuman Comb 25, zawiesina do wstrzykiwań, 100 j.m./ml,5 wkł.po 3 ml,5909990915613,"14.1, Hormony trzustki - insuliny ludzkie i analogi insulin ludzkich",8996,10262,9588,Cukrzyca,ryczałt,1074
1550,1812,Insulini iniectio neutralis + Insulinum isophanum,Mixtard 30 Penfill, zawiesina do wstrzykiwań we wkładzie, 100 j.m./ml,5 wkł.po 3 ml,5909990238323,"14.1, Hormony trzustki - insuliny ludzkie i analogi insulin ludzkich",8323,9588,9588,Cukrzyca,ryczałt,400
1551,1813,Insulini iniectio neutralis + Insulinum isophanum,Mixtard 40 Penfill, zawiesina do wstrzykiwań we wkładzie, 100 j.m./ml,5 wkł.po 3 ml,5909990347124,"14.1, Hormony trzustki - insuliny ludzkie i analogi insulin ludzkich",8323,9588,9588,Cukrzyca,ryczałt,400
1552,1814,Insulini iniectio neutralis + Insulinum isophanum,Mixtard 50 Penfill, zawiesina do wstrzykiwań we wkładzie, 100 j.m./ml,5 wkł.po 3 ml,5909990348121,"14.1, Hormony trzustki - insuliny ludzkie i analogi insulin ludzkich",8323,9588,9588,Cukrzyca,ryczałt,400
1553,1815,Insulini iniectio neutralis + Insulinum isophanum,Polhumin Mix - 2, zawiesina do wstrzykiwań, 100 j.m./ml,5 wkł.po 3 ml,5909991022921,"14.1, Hormony trzustki - insuliny ludzkie i analogi insulin ludzkich",8323,9588,9588,Cukrzyca,ryczałt,400
1554,1816,Insulini iniectio neutralis + Insulinum isophanum,Polhumin Mix - 3, zawiesina do wstrzykiwań, 100 j.m./ml,5 wkł.po 3 ml,5909991023027,"14.1, Hormony trzustki - insuliny ludzkie i analogi insulin ludzkich",8323,9588,9588,Cukrzyca,ryczałt,400
1555,1817,Insulini iniectio neutralis + Insulinum isophanum,Polhumin Mix - 4, zawiesina do wstrzykiwań, 100 j.m./ml,5 wkł.po 3 ml,5909991023126,"14.1, Hormony trzustki - insuliny ludzkie i analogi insulin ludzkich",8323,9588,9588,Cukrzyca,ryczałt,400
1556,1818,Insulini iniectio neutralis + Insulinum isophanum,Polhumin Mix - 5, zawiesina do wstrzykiwań, 100 j.m./ml,5 wkł.po 3 ml,5909991023324,"14.1, Hormony trzustki - insuliny ludzkie i analogi insulin ludzkich",8323,9588,9588,Cukrzyca,ryczałt,400
1557,1819,Insulini injectio neutralis,Actrapid Penfill, roztwór do wstrzykiwań we wkładzie, 100 j.m./ml,5 wkł.po 3 ml,5909990237920,"14.1, Hormony trzustki - insuliny ludzkie i analogi insulin ludzkich",8323,9588,9588,Cukrzyca,ryczałt,400
1558,1820,Insulini injectio neutralis,Insuman Rapid, roztwór do wstrzykiwań, 100 j.m./ml,5 wkł.po 3 ml,5909990914715,"14.1, Hormony trzustki - insuliny ludzkie i analogi insulin ludzkich",8996,10262,9588,Cukrzyca,ryczałt,1074
1559,1821,Insulinum aspartum,Fiasp, roztwór do wstrz., 100 j.m./ml,1 fiol. a 10 ml,5909991378059,"14.1, Hormony trzustki - insuliny ludzkie i analogi insulin ludzkich",7034,8039,6392,Cukrzyca typu I,ryczałt,1967
1560,1822,Insulinum aspartum,Fiasp, roztwór do wstrz., 100 j.m./ml,5 wkł.po 3 ml,5909991306298,"14.1, Hormony trzustki - insuliny ludzkie i analogi insulin ludzkich",11669,12935,9588,Cukrzyca typu I,ryczałt,3747
1561,1823,Insulinum aspartum,Insulin aspart Sanofi, roztwór do wstrzykiwań, 100 j/ml,10 wstrzykiwaczy 3 ml SoloStar,5909991429171,"14.1, Hormony trzustki - insuliny ludzkie i analogi insulin ludzkich",18192,19858,19176,Cukrzyca,ryczałt,1482
1562,1824,Insulinum aspartum,NovoMix 30 Penfill, zawiesina do wstrzykiwań we wkładzie, 100 j/ml,5 wkł.po 3 ml,5909990879915,"14.1, Hormony trzustki - insuliny ludzkie i analogi insulin ludzkich",12174,13440,9588,Cukrzyca,ryczałt,4252
1563,1825,Insulinum aspartum,NovoMix 50 Penfill, zawiesina do wstrzykiwań we wkładzie, 100 j/ml,5 wkł.po 3ml,5909990614981,"14.1, Hormony trzustki - insuliny ludzkie i analogi insulin ludzkich",12344,13610,9588,Cukrzyca,ryczałt,4422
1564,1826,Insulinum aspartum,NovoRapid, roztwór do wstrzykiwań, 100 j/ml,1 fiol.po 10 ml,5909991369668,"14.1, Hormony trzustki - insuliny ludzkie i analogi insulin ludzkich",8085,9090,6392,Cukrzyca,ryczałt,3018
1565,1827,Insulinum aspartum,NovoRapid Penfill, roztwór do wstrzykiwań we wkładzie, 100 j/ml,5 wkł.po 3 ml,5909990451814,"14.1, Hormony trzustki - insuliny ludzkie i analogi insulin ludzkich",12129,13395,9588,Cukrzyca,ryczałt,4207
1566,1828,Insulinum degludecum,Tresiba FlexTouch, roztwór do wstrzykiwań we wstrzykiwaczu , 200 j/ml,3 wstrzykiwacze po 3 ml,5909991107864,"14.3, Hormony trzustki - długodziałające analogi insulin",23542,25221,18356,Cukrzyca typu I u dorosłych; Cukrzyca typu 2 u dorosłych pacjentów leczonych insuliną NPH od co najmniej 6 miesięcy i z HbA1c ≥8% oraz cukrzyca typu 2 u dorosłych pacjentów leczonych insuliną NPH od co najmniej 6 miesięcy i z udokumentowanymi nawracającymi epizodami ciężkiej lub nocnej hipoglikemii oraz cukrzyca o znanej przyczynie (zgodnie z definicją wg WHO),30%,12372
1567,1829,Insulinum degludecum,Tresiba Penfill, roztwór do wstrzykiwań we wkładzie , 100 j/ml,5 wkł.po 3 ml (Penfill),5909991107833,"14.3, Hormony trzustki - długodziałające analogi insulin",19618,21184,15297,Cukrzyca typu I u dorosłych; Cukrzyca typu 2 u dorosłych pacjentów leczonych insuliną NPH od co najmniej 6 miesięcy i z HbA1c ≥8% oraz cukrzyca typu 2 u dorosłych pacjentów leczonych insuliną NPH od co najmniej 6 miesięcy i z udokumentowanymi nawracającymi epizodami ciężkiej lub nocnej hipoglikemii oraz cukrzyca o znanej przyczynie (zgodnie z definicją wg WHO),30%,10476
1568,1830,Insulinum degludecum + Insulinum aspartum,Ryzodeg, roztwór do wstrzykiwań, 100 j.m./ml,5 wkł.po 3 ml Penfill,5909991371562,"14.3, Hormony trzustki - długodziałające analogi insulin",15876,17442,15297,"Cukrzyca typu I u dorosłych, młodzieży i dzieci w wieku od 2 lat i powyżej; Cukrzyca typu 2 u pacjentów leczonych insuliną NPH od co najmniej 6 miesięcy i z HbA1c ≥8% oraz cukrzyca typu 2 u pacjentów leczonych insuliną NPH od co najmniej 6 miesięcy i z udokumentowanymi nawracającymi epizodami ciężkiej lub nocnej hipoglikemii oraz cukrzyca o znanej przyczynie (zgodnie z definicją wg WHO)",30%,6734
1569,1831,Insulinum detemirum,Levemir, roztwór do wstrzykiwań we wkładzie, 100 j/ml,5 wkł.po 3 ml (Penfill),5909990005741,"14.3, Hormony trzustki - długodziałające analogi insulin",19562,21128,15297,"<1>Cukrzyca typu I u dorosłych, młodzieży i dzieci w wieku od 2 lat i powyżej; <2>Cukrzyca typu 2 u pacjentów leczonych insuliną NPH od co najmniej 6 miesięcy i z HbA1c ≥8% oraz cukrzyca typu 2 u pacjentów leczonych insuliną NPH od co najmniej 6 miesięcy i z udokumentowanymi nawracającymi epizodami ciężkiej lub nocnej hipoglikemii oraz cukrzyca o znanej przyczynie (zgodnie z definicją wg WHO)",30%,10420
1570,1832,Insulinum glarginum,Abasaglar, roztwór do wstrzykiwań we wkładzie, 100 j.m./ml,10 wkł.po 3 ml,5909991201982,"14.3, Hormony trzustki - długodziałające analogi insulin",28628,30594,30594,"Cukrzyca typu I u dorosłych, młodzieży i dzieci od 6 roku życia; Cukrzyca typu 2 u pacjentów leczonych insuliną NPH od co najmniej 6 miesięcy i z HbA1c ≥8% oraz cukrzyca typu 2 u pacjentów leczonych insuliną NPH od co najmniej 6 miesięcy i z udokumentowanymi nawracającymi epizodami ciężkiej lub nocnej hipoglikemii oraz cukrzyca typu 1 u dzieci w wieku od 2 do 6 lat oraz cukrzyca o znanej przyczynie (zgodnie z definicją wg WHO)",30%,9178
1571,1833,Insulinum glarginum,Lantus, roztwór do wstrzykiwań, 100 j/ml,5 wkladów po 3 ml,5909990895717,"14.3, Hormony trzustki - długodziałające analogi insulin",18031,19597,15297,"<1>Cukrzyca typu I u dorosłych, młodzieży i dzieci od 6 roku życia; <2>Cukrzyca typu 2 u pacjentów leczonych insuliną NPH od co najmniej 6 miesięcy i z HbA1c ≥8% oraz cukrzyca typu 2 u pacjentów leczonych insuliną NPH od co najmniej 6 miesięcy i z udokumentowanymi nawracającymi epizodami ciężkiej lub nocnej hipoglikemii oraz cukrzyca typu 1 u dzieci w wieku od 2 do 6 lat oraz cukrzyca o znanej przyczynie (zgodnie z definicją wg WHO)",30%,8889
1572,1834,Insulinum glarginum,Lantus, roztwór do wstrzykiwań, 100 j/ml,5 wstrzykiwaczy SoloStar po 3 ml,5909990617555,"14.3, Hormony trzustki - długodziałające analogi insulin",18031,19597,15297,"<1>Cukrzyca typu I u dorosłych, młodzieży i dzieci od 6 roku życia; <2>Cukrzyca typu 2 u pacjentów leczonych insuliną NPH od co najmniej 6 miesięcy i z HbA1c ≥8% oraz cukrzyca typu 2 u pacjentów leczonych insuliną NPH od co najmniej 6 miesięcy i z udokumentowanymi nawracającymi epizodami ciężkiej lub nocnej hipoglikemii oraz cukrzyca typu 1 u dzieci w wieku od 2 do 6 lat oraz cukrzyca o znanej przyczynie (zgodnie z definicją wg WHO)",30%,8889
1573,1835,Insulinum glarginum,Toujeo, roztwór do wstrzykiwań we wstrzykiwaczu, 300 j/ml,"10 wstrzykiwaczy SoloStar po 1,5 ml",5909991231538,"14.3, Hormony trzustki - długodziałające analogi insulin",50520,52844,45891,Cukrzyca typu I u dorosłych; Cukrzyca typu 2 u dorosłych pacjentów leczonych insuliną NPH od co najmniej 6 miesięcy i z HbA1c ≥8% oraz cukrzyca typu 2 u dorosłych pacjentów leczonych insuliną NPH od co najmniej 6 miesięcy i z udokumentowanymi nawracającymi epizodami ciężkiej lub nocnej hipoglikemii oraz cukrzyca u dorosłych o znanej przyczynie (zgodnie z definicją wg WHO),30%,20720
1574,1836,Insulinum glulisinum,Apidra, roztwór do wstrzykiwań, 100 j./ml,1 fiol.po 10 ml,5909990008483,"14.1, Hormony trzustki - insuliny ludzkie i analogi insulin ludzkich",7560,8565,6392,Cukrzyca,ryczałt,2493
1575,1837,Insulinum glulisinum,Apidra, roztwór do wstrzykiwań, 100 j./ml,5 wkł.po 3 ml,5909990008575,"14.1, Hormony trzustki - insuliny ludzkie i analogi insulin ludzkich",11340,12606,9588,Cukrzyca,ryczałt,3418
1576,1838,Insulinum glulisinum,Apidra SoloStar, roztwór do wstrzykiwań, 100 j.m./ml,5 wstrz.po 3 ml,5909990617197,"14.1, Hormony trzustki - insuliny ludzkie i analogi insulin ludzkich",11356,12622,9588,Cukrzyca,ryczałt,3434
