,lp,substancja_czynna,nazwa,postac,dawka,zawartosc_opakowania,ean
12910,666,Candesartanum cilexetili,Carzap, tabl., 8 mg,28 szt.,5909990937080
12914,670,Candesartanum cilexetili,Karbis, tabl., 16 mg,28 szt.,5909990772193
12915,671,Candesartanum cilexetili,Karbis, tabl., 16 mg,30 szt.,5909991475680
12916,672,Candesartanum cilexetili,Karbis, tabl., 16 mg,30 szt.,5909991475925
12917,673,Candesartanum cilexetili,Karbis, tabl., 16 mg,60 szt.,5909991475697
12918,674,Candesartanum cilexetili,Karbis, tabl., 16 mg,60 szt.,5909991475932
12919,675,Candesartanum cilexetili,Karbis, tabl., 32 mg,30 szt.,5909991475758
12921,677,Candesartanum cilexetili,Karbis, tabl., 8 mg,28 szt.,5909990772162
12922,678,Candesartanum cilexetili,Karbis, tabl., 8 mg,30 szt.,5909991475666
12923,679,Candesartanum cilexetili,Karbis, tabl., 8 mg,30 szt.,5909991475482
12924,680,Candesartanum cilexetili,Karbis, tabl., 8 mg,60 szt.,5909991475673
12925,681,Candesartanum cilexetili,Karbis, tabl., 8 mg,60 szt.,5909991475499
12931,687,Candesartanum cilexetili + Amlodipinum,Candezek Combi, kaps. twarde, 16 + 10 mg,30 szt.,5906414002140
12932,688,Candesartanum cilexetili + Amlodipinum,Candezek Combi, kaps. twarde, 16 + 10 mg,90 szt.,5906414002171
12933,689,Candesartanum cilexetili + Amlodipinum,Candezek Combi, kaps. twarde, 16 + 5 mg,30 szt.,5906414002089
12934,690,Candesartanum cilexetili + Amlodipinum,Candezek Combi, kaps. twarde, 16 + 5 mg,90 szt.,5906414002119
12935,691,Candesartanum cilexetili + Amlodipinum,Candezek Combi, kaps. twarde, 8 + 10 mg,30 szt.,5906414002027
12936,692,Candesartanum cilexetili + Amlodipinum,Candezek Combi, kaps. twarde, 8 + 10 mg,90 szt.,5906414002058
12937,693,Candesartanum cilexetili + Amlodipinum,Candezek Combi, kaps. twarde, 8 + 5 mg,30 szt.,5906414001969
12938,694,Candesartanum cilexetili + Amlodipinum,Candezek Combi, kaps. twarde, 8 + 5 mg,90 szt.,5906414001990
12944,700,Candesartanum cilexetili + Hydrochlorothiazidum,Carzap HCT, tabl., 16+12#5 mg,28 szt.,5909990957255
12945,701,Candesartanum cilexetili + Hydrochlorothiazidum,Carzap HCT, tabl., 16+12#5 mg,56 szt.,5909991421656
12946,702,Candesartanum cilexetili + Hydrochlorothiazidum,Carzap HCT, tabl., 16+12#5 mg,56 szt.,5909990957279
12947,703,Candesartanum cilexetili + Hydrochlorothiazidum,Carzap HCT, tabl., 8+12#5 mg,28 szt.,5909990957170
12948,704,Candesartanum cilexetili + Hydrochlorothiazidum,Carzap HCT, tabl., 8+12#5 mg,56 szt.,5909990957194
12949,705,Candesartanum cilexetili + Hydrochlorothiazidum,Karbicombi, tabl., 16+12#5 mg,28 szt.,5909991455361
12950,706,Candesartanum cilexetili + Hydrochlorothiazidum,Karbicombi, tabl., 16+12#5 mg,28 szt.,5909991432300
12951,707,Candesartanum cilexetili + Hydrochlorothiazidum,Karbicombi, tabl., 16+12#5 mg,56 szt.,5909991455378
12952,708,Candesartanum cilexetili + Hydrochlorothiazidum,Karbicombi, tabl., 32+12#5 mg,28 szt.,5909991464011
12953,709,Candesartanum cilexetili + Hydrochlorothiazidum,Karbicombi, tabl., 32+12#5 mg,28 szt.,5909991432324
12954,710,Candesartanum cilexetili + Hydrochlorothiazidum,Karbicombi, tabl., 32+12#5 mg,30 szt.,5909991436667
12955,711,Candesartanum cilexetili + Hydrochlorothiazidum,Karbicombi, tabl., 32+25 mg,28 szt.,5909991463908
12956,712,Candesartanum cilexetili + Hydrochlorothiazidum,Karbicombi, tabl., 32+25 mg,30 szt.,5909991434977
12957,713,Candesartanum cilexetili + Hydrochlorothiazidum,Karbicombi, tabl., 32+25 mg,30 szt.,5909991428112
12958,714,Candesartanum cilexetilum,Candepres, tabl., 16 mg,28 szt.,5909990739653
12959,715,Candesartanum cilexetilum,Candepres, tabl., 32 mg,28 szt.,5909990739707
12960,716,Candesartanum cilexetilum,Candepres, tabl., 8 mg,28 szt.,5909990739592
12969,725,Candesartanum cilexetilum + Hydrochlorothiazidum,Carzap HCT, tabletki, 32+12#5 mg,28 szt.,5909991057596
12970,726,Candesartanum cilexetilum + Hydrochlorothiazidum,Carzap HCT, tabletki, 32+25 mg,28 szt.,5909991058609
13078,834,Cefuroximum,Zinnat, tabl. powl., 250 mg,10 szt.,5909990083312
13079,835,Cefuroximum,Zinnat, granulat do sporządzania zawiesiny doustnej, 250 mg/5 ml,"1 but.po 50 ml (39,98 g granulatu)",5909990468812
13080,836,Cefuroximum,Zinnat, tabl. powl., 500 mg,10 szt.,5909997210605
13081,837,Cefuroximum,Zinnat, tabl. powl., 500 mg,10 szt.,5909991283575
13082,838,Cefuroximum,Zinnat, tabl. powl., 500 mg,10 szt.,5909991359331
13083,839,Cefuroximum,Zinnat, tabl. powl., 500 mg,10 szt.,5909997200118
13084,840,Cefuroximum,Zinnat, tabl. powl., 500 mg,10 szt.,5909997196077
13085,841,Cefuroximum,Zinnat, tabl. powl., 500 mg,10 szt.,5909991399290
13086,842,Cefuroximum,Zinnat, tabl. powl., 500 mg,10 szt.,5909990083411
13087,843,Cefuroximum,Zinnat, tabl. powl., 500 mg,10 szt.,5909991433093
13088,844,Cefuroximum,Zinnat, tabl. powl., 500 mg,14 szt.,5909991418212
13089,845,Cefuroximum,Zinnat, tabl. powl., 500 mg,14 szt.,5909991425203
13090,846,Cefuroximum,Zinnat, tabl. powl., 500 mg,14 szt.,5909990083435
13091,847,Cefuroximum,Zinoxx, tabl. powl., 250 mg,10 szt.,5909991082932
13092,848,Cefuroximum,Zinoxx, tabl. powl., 500 mg,10 szt.,5909991082949
13093,849,Cefuroximum,Zinoxx, tabl. powl., 500 mg,14 szt.,5909991401641
13094,850,Cetirizine dihydrochloride,Amertil, tabl. powl., 10 mg,20 szt.,5909990410729
13095,851,Cetirizine dihydrochloride,Amertil, tabl. powl., 10 mg,30 szt.,5909990410736
13096,852,Cetirizini dihydrochloridum,Alermed, tabl. powl., 10 mg,30 szt.,5909990910793
13097,853,Cetirizini dihydrochloridum,Allertec, tabl. powl., 10 mg,30 szt.,5909990569441
13098,854,Cetirizini dihydrochloridum,Allertec, krople doustne# roztwór, 10 mg/ml,1 butelka 10 ml,5909991103811
13099,855,Cetirizini dihydrochloridum,Allertec, krople doustne# roztwór, 10 mg/ml,1 butelka 20 ml,5909991103835
13100,856,Cetirizini dihydrochloridum,Allertec, syrop, 5 mg/5 ml,1 but.po 100 ml,5909990851119
13101,857,Cetirizini dihydrochloridum,Amertil, tabl. powl., 10 mg,60 szt.,5907695215250
13102,858,Cetirizini dihydrochloridum,Letizen, tabl. powl., 10 mg,20 szt.,5909990869725
13103,859,Cetirizini dihydrochloridum,Zyrtec, roztwór doustny, 1 mg/ml,1 but. po 75 ml,5909990781515
13104,860,Cetirizini dihydrochloridum,Zyrtec, krople doustne# roztwór, 10 mg/ml,1 but. 20 ml,5909991386672
13105,861,Cetirizini dihydrochloridum,Zyrtec, krople doustne# roztwór, 10 mg/ml,1 but. 20 ml,5909991457020
13106,862,Cetirizini dihydrochloridum,Zyrtec, krople doustne, 10 mg/ml,20 ml,5909990184736
13107,863,Cetirizinum,Zyrtec, tabl. powl., 10 mg,30 szt.,5909990184637
13108,864,Cetrorelixum,Cetrotide, proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań, 0.25 mg,1 fiol. + 1 amp.-strz.,5909990488926
13109,865,Chlorambucilum,Leukeran, tabl. powl., 2 mg,25 szt.,5909990345618
13110,866,Chloroquinum,Arechin, tabl., 250 mg,30 tabl.,5909991139582
13111,867,Chlorprothixeni hydrochloridum,Chlorprothixen Hasco, tabl. powl., 15 mg,50 szt.,5909991474409
13112,868,Chlorprothixeni hydrochloridum,Chlorprothixen Hasco, tabl. powl., 15 mg,50 szt.,5909991474409
13113,869,Chlorprothixeni hydrochloridum,Chlorprothixen Hasco, tabl. powl., 50 mg,50 szt.,5909991474416
13114,870,Chlorprothixeni hydrochloridum,Chlorprothixen Hasco, tabl. powl., 50 mg,50 szt.,5909991474416
13115,871,Chlorprothixeni hydrochloridum,Chlorprothixen Zentiva, tabl. powl., 15 mg,50 szt.,5909990203017
13116,872,Chlorprothixeni hydrochloridum,Chlorprothixen Zentiva, tabl. powl., 15 mg,50 szt.,5909990203017
13117,873,Chlorprothixeni hydrochloridum,Chlorprothixen Zentiva, tabl. powl., 50 mg,50 szt.,5909990203116
13118,874,Chlorprothixeni hydrochloridum,Chlorprothixen Zentiva, tabl. powl., 50 mg,50 szt.,5909990203116
13119,875,Ciclesonidum,Alvesco 160, aerozol inhalacyjny# roztwór, 160 µg,1 poj. 120 daw.,5909990212064
13120,876,Ciclesonidum,Alvesco 160, aerozol inhalacyjny# roztwór, 160 µg,1 poj. 60 daw.,5909990218530
13121,877,Ciclesonidum,Alvesco 80, aerozol inhalacyjny# roztwór, 80 µg,1 poj. 120 daw.,5909990212057
13122,878,Ciclesonidum,Alvesco 80, aerozol inhalacyjny# roztwór, 80 µg,1 poj. 60 daw.,5909990218523
13123,879,Ciclosporinum,Cyclaid, kaps. miękkie, 100 mg,50 szt.,5909990787463
13124,880,Ciclosporinum,Cyclaid, kaps. miękkie, 25 mg,50 szt.,5909990787289
13125,881,Ciclosporinum,Cyclaid, kaps. miękkie, 50 mg,50 szt.,5909990787357
13126,882,Ciclosporinum,Equoral, kaps. elastyczne, 100 mg,50 szt.,5909990946624
13128,884,Ciclosporinum,Equoral, roztwór doustny, 100 mg/ml,50 ml,5909991460679
13129,885,Ciclosporinum,Equoral, roztwór doustny, 100 mg/ml,50 ml,5909990946716
13130,886,Ciclosporinum,Equoral, kaps. elastyczne, 25 mg,50 szt.,5909990946426
13131,887,Ciclosporinum,Equoral, kaps. elastyczne, 50 mg,50 szt.,5909990946525
13132,888,Ciclosporinum,Ikervis, krople do oczu# emulsja, 1 mg/ml,"30 poj. 0,3 ml",4987084303585
13188,944,Clobetasoli propionas,Dermovate, roztwór na skórę, 0.5 mg/ml,50 ml,5909997013800
13189,945,Clobetasoli propionas,Dermovate, roztwór na skórę, 0.5 mg/ml,50 ml,5909997196497
13227,983,Cyclophosphamidum,Endoxan, tabl. drażowane, 50 mg,50 szt.,5909990240814
13228,984,Cyclophosphamidum,Endoxan, tabl. drażowane, 50 mg,50 szt.,5909990240814
13240,996,Dabigatranum etexilatum,Pradaxa, kaps. twarde, 110 mg,30 szt.,5909990641260
13241,997,Dabigatranum etexilatum,Pradaxa, kaps. twarde, 110 mg,30 szt.,5909990641260
13246,1002,Degarelixum,Firmagon, proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań, 120 mg,2 fiol. z prosz. i 2 fiol. z rozp.,5909990774869
13247,1003,Degarelixum,Firmagon, proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań, 80 mg,1 fiol. z prosz. i 1 amp-strz. rozp.,5909990774852
13261,1017,Desloratadinum,Dynid, tabl., 5 mg,60 szt.,5902020241669
13266,1022,Desloratadinum,Jovesto, tabl. powl., 5 mg,60 szt.,5909990994533
13268,1024,Desloratadinum,Jovesto, tabl. powl., 5 mg,90 szt.,5909990994540
13269,1025,Desmopressinum,Minirin Melt, liofilizat doustny, 120 µg,30 szt.,5909990068548
13270,1026,Desmopressinum,Minirin Melt, liofilizat doustny, 120 µg,30 szt.,5909990068548
13271,1027,Desmopressinum,Minirin Melt, liofilizat doustny, 240 µg,30 szt.,5909990068579
13272,1028,Desmopressinum,Minirin Melt, liofilizat doustny, 240 µg,30 szt.,5909990068579
13273,1029,Desmopressinum,Minirin Melt, liofilizat doustny, 60 µg,30 szt.,5909990068494
13274,1030,Desmopressinum,Minirin Melt, liofilizat doustny, 60 µg,30 szt.,5909990068494
13275,1031,Dexamethasonum,Demezon, tabl., 1 mg,40 szt.,5909991389178
13276,1032,Dexamethasonum,Demezon, tabl., 4 mg,20 szt.,5909991389208
13278,1034,Dexamethasonum,Dexamethasone Krka, tabl., 20 mg,20 szt.,5909991472535
13279,1035,Dexamethasonum,Dexamethasone KRKA, tabl., 20 mg,20 szt.,5909991297763
13280,1036,Dexamethasonum,Dexamethasone KRKA, tabl., 4 mg,20 szt.,5909991297480
13281,1037,Dexamethasonum,Dexamethasone KRKA, tabl., 40 mg,20 szt.,5909991297879
13283,1039,Dexamethasonum,Dexamethasone KRKA, tabl., 8 mg,20 szt.,5909991297633
13284,1040,Dexamethasonum,Pabi-Dexamethason, tabl., 1 mg,20 szt.,5904374007854
13285,1041,Dexamethasonum,Pabi-Dexamethason, tabl., 20 mg,20 szt.,5900411007351
13286,1042,Dexamethasonum,Pabi-Dexamethason, tabl., 4 mg,20 szt.,5900411007276
13287,1043,Dexamethasonum,Pabi-Dexamethason, tabl., 500 µg,20 szt.,5904374007861
13288,1044,Dexamethasonum,Pabi-Dexamethason, tabl., 8 mg,20 szt.,5900411007313
13289,1045,Diazepamum,Relsed, mikrowlewka doodbytnicza# roztwór, 2 mg/ml,"5 mikrowlewek a 2,5 ml",5909990751518
13290,1046,Diazepamum,Relsed, mikrowlewka doodbytnicza# roztwór, 4 mg/ml,"5 mikrowlewek a 2,5 ml",5909990751617
13291,1047,Diclofenacum,Naclof, krople do oczu# roztwór, 1 mg/ml,5 ml (but.),5909990145317
13292,1048,Diclofenacum,Olfen Uno, tabl. o zmodyfikowanym uwalnianiu, 150 mg,30 szt.,5909990457120
13293,1049,Diclofenacum,Olfen UNO, tabl. o zmodyfikowanym uwalnianiu, 150 mg,60 szt. (6 blist.po 10 szt.),5909990457137
13294,1050,Diclofenacum natricum,Diclac, roztwór do wstrzykiwań domięśniowych, 75 mg/3 ml,10 amp.po 3 ml,5909990753024
13295,1051,Diclofenacum natricum,Diclac, roztwór do wstrzykiwań domięśniowych, 75 mg/3 ml,5 amp.po 3 ml,5909990753017
13296,1052,Diclofenacum natricum,Dicloabak, krople do oczu# roztwór, 1 mg/ml,10 ml (but.),5909990074044
13297,1053,Diclofenacum natricum,DicloDuo, kaps. o zmodyfikowanym uwalnianiu, 75 mg,30 szt.,5909990752010
13298,1054,Diclofenacum natricum,Difadol 0#1%, krople do oczu# roztwór, 1 mg/ml,5 ml,5909991026516
13299,1055,Diclofenacum natricum,Majamil prolongatum, tabl. o przedłużonym uwalnianiu, 100 mg,20 szt.,5909990033614
13300,1056,Diclofenacum natricum,Naklofen, roztwór do wstrzykiwań, 25 mg/ml,5 amp.po 3 ml,5909990241910
13301,1057,Diclofenacum natricum,Olfen 75 SR, tabl. powl. o przedłużonym uwalnianiu, 75 mg,30 szt.,5909990974122
13302,1058,Diclofenacum natricum + Lidocaini hydrochloridum,Olfen 75, roztwór do wstrzykiwań, (37#5+10) mg/ml,5 amp.po 2 ml,5909990161119
13303,1059,Dienogest,Diemono, tabl. powl., 2 mg,28 szt.,5909991405120
13304,1060,Dienogestum,Aridya, tabl. powl., 2 mg,28 szt.,5909991430702
13305,1061,Dienogestum,Diemono, tabl. powl., 2 mg,28 szt.,5909991473341
13330,1086,Donepezili hydrochloridum,Donecept, tabl. powl., 10 mg,28 szt.,5909991464141
13331,1087,Donepezili hydrochloridum,Donecept, tabl. powl., 10 mg,28 szt.,5909990689873
13332,1088,Donepezili hydrochloridum,Donecept, tabl. powl., 5 mg,28 szt.,5909990689781
13333,1089,Donepezili hydrochloridum,Donectil, tabl. powl., 10 mg,28 szt.,5909990683666
13334,1090,Donepezili hydrochloridum,Donectil, tabl. powl., 5 mg,28 szt.,5909990683581
13335,1091,Donepezili hydrochloridum,Donectil ODT, tabl. ulegające rozpadowi w jamie ustnej, 10 mg,30 szt.,5909990851492
13336,1092,Donepezili hydrochloridum,Donepex, tabl. powl., 10 mg,28 szt.,5909991056018
13337,1093,Donepezili hydrochloridum,Donepex, tabl. powl., 5 mg,28 szt.,5909991055912
13338,1094,Donepezili hydrochloridum,Donepezil Bluefish, tabl. powl., 10 mg,28 szt.,5909990814138
13339,1095,Donepezili hydrochloridum,Donepezil Bluefish, tabl. powl., 5 mg,28 szt.,5909990814077
13340,1096,Donepezili hydrochloridum,Donepezil Polfarmex, tabl., 5 mg,28 szt.,5909990877553
13341,1097,Donepezili hydrochloridum,Donesyn, tabl. powl., 10 mg,28 szt.,5909990657360
13342,1098,Donepezili hydrochloridum,Donesyn, tabl. powl., 5 mg,28 szt.,5909990657353
13343,1099,Donepezili hydrochloridum,Memorion, tabl. powl., 10 mg,28 szt.,5909991403560
13344,1100,Donepezili hydrochloridum,Memorion, tabl. powl., 5 mg,28 szt.,5909991398842
13345,1101,Donepezili hydrochloridum,Ricordo, tabl. ulegające rozpadowi w jamie ustnej, 10 mg,28 szt.,5909990798940
13346,1102,Donepezili hydrochloridum,Ricordo, tabl. ulegające rozpadowi w jamie ustnej, 5 mg,28 szt.,5909990798933
13347,1103,Donepezili hydrochloridum,Yasnal, tabl. powl., 10 mg,28 szt.,5909990993314
13348,1104,Donepezili hydrochloridum,Yasnal, tabl. powl., 5 mg,28 szt.,5909990993215
13349,1105,Donepezili hydrochloridum,Yasnal Q-Tab, tabl. ulegające rozpadowi w jamie ustnej, 10 mg,28 szt.,5909990850204
13350,1106,Donepezili hydrochloridum,Yasnal Q-Tab, tabl. ulegające rozpadowi w jamie ustnej, 5 mg,28 szt.,5909990850075
13351,1107,Dornasum alfa,Pulmozyme, roztwór do nebulizacji, 1 mg/ml,"30 amp.a 2,5 ml",5909990375813
13352,1108,Dorzolamidum,Nodofree, krople do oczu# roztwór, 20 mg/ml,1 butelka 5 ml,5909991344306
13353,1109,Dorzolamidum,Nodofree, krople do oczu# roztwór, 20 mg/ml,3 butelki 5 ml,5909991344313
13354,1110,Dorzolamidum,Nodom, krople do oczu# roztwór, 20 mg/ml,1 but.po 5 ml,5909990942855
13355,1111,Dorzolamidum,Nodom, krople do oczu# roztwór, 20 mg/ml,3 butelki po 5 ml,5900257101015
13356,1112,Dorzolamidum,Rozalin, krople do oczu# roztwór, 20 mg/ml,1 but.po 5 ml,5909990643929
13357,1113,Dorzolamidum,Rozalin, krople do oczu# roztwór, 20 mg/ml,3 but.po 5 ml,5906414000962
13358,1114,Dorzolamidum,Trusopt, krople do oczu# roztwór, 20 mg/ml,1 but.po 5 ml,5909990661329
13359,1115,Dorzolamidum,Vizidor, krople do oczu, 20 mg/ml,1 butelka po 5 ml,5909991310936
13360,1116,Dorzolamidum,Vizidor, krople do oczu, 20 mg/ml,3 butelki po 5 ml,5909991310943
13361,1117,Dorzolamidum + Timololum,Cosopt, krople do oczu# roztwór, 20+5 mg/ml,1 but.po 5 ml,5909990442423
13362,1118,Dorzolamidum + Timololum,Nodofree Combi, krople do oczu# roztwór, 20+5 mg/ml,1 but. po 5 ml,5909991340674
13363,1119,Dorzolamidum + Timololum,Nodofree Combi, krople do oczu# roztwór, 20+5 mg/ml,3 but. po 5 ml,5909991340681
13364,1120,Dorzolamidum + Timololum,Nodom Combi, krople do oczu# roztwór, 20+5 mg/ml,1 but.po 5 ml,5909991067267
13365,1121,Dorzolamidum + Timololum,Nodom Combi, krople do oczu# roztwór, 20+5 mg/ml,3 but.po 5 ml,5909991067274
13366,1122,Dorzolamidum + Timololum,Oftidorix, krople do oczu# roztwór, 20+5 mg/ml,5 ml,5909990866144
13367,1123,Dorzolamidum + Timololum,Rozacom, krople do oczu# roztwór, 20+5 mg/ml,1 but.po 5 ml,5909990746705
13368,1124,Dorzolamidum + Timololum,Rozacom, krople do oczu# roztwór, 20+5 mg/ml,3 but.po 5 ml,5906414000955
13369,1125,Dorzolamidum + Timololum,Vizidor Duo, krople do oczu, 20 + 5  mg/ml,1 butelka po 5 ml,5909991311049
13370,1126,Dorzolamidum + Timololum,Vizidor Duo, krople do oczu, 20 + 5  mg/ml,3 butelki po 5 ml,5909991311056
13371,1127,Doxazosini mesilas,Doxazosin Aurovitas, tabl., 2 mg,30 szt.,5909991305291
13372,1128,Doxazosini mesilas,Doxazosin Aurovitas, tabl., 2 mg,30 szt.,5909991305291
13373,1129,Doxazosini mesilas,Doxazosin Aurovitas, tabl., 4 mg,30 szt.,5909991305420
13374,1130,Doxazosini mesilas,Doxazosin Aurovitas, tabl., 4 mg,30 szt.,5909991305420
13375,1131,Doxazosinum,Adadox, tabletki, 2 mg,30 szt.,5909990901890
13376,1132,Doxazosinum,Adadox, tabletki, 2 mg,30 szt.,5909990901890
13377,1133,Doxazosinum,Adadox, tabletki, 4 mg,30 szt.,5909990902255
13378,1134,Doxazosinum,Adadox, tabletki, 4 mg,30 szt.,5909990902255
13379,1135,Doxazosinum,Adadox, tabletki, 4 mg,90 szt.,5909990902293
13380,1136,Doxazosinum,Adadox, tabletki, 4 mg,90 szt.,5909990902293
13381,1137,Doxazosinum,Apo-Doxan 1, tabl., 1 mg,30 szt.,5909990969517
13382,1138,Doxazosinum,Apo-Doxan 1, tabl., 1 mg,30 szt.,5909990969517
13383,1139,Doxazosinum,Apo-Doxan 2, tabl., 2 mg,30 szt.,5909990969616
13384,1140,Doxazosinum,Apo-Doxan 2, tabl., 2 mg,30 szt.,5909990969616
13385,1141,Doxazosinum,Apo-Doxan 4, tabl., 4 mg,30 szt.,5909990969715
13386,1142,Doxazosinum,Apo-Doxan 4, tabl., 4 mg,30 szt.,5909990969715
13387,1143,Doxazosinum,Apo-Doxan 4, tabl., 4 mg,60 szt.,5909991271367
13388,1144,Doxazosinum,Apo-Doxan 4, tabl., 4 mg,60 szt.,5909991271367
13389,1145,Doxazosinum,Cardura XL, tabl. o zmodyfikowanym uwalnianiu, 4 mg,30 szt.,5909990431410
13390,1146,Doxazosinum,Cardura XL, tabl. o zmodyfikowanym uwalnianiu, 4 mg,30 szt.,5909990431410
13391,1147,Doxazosinum,Cardura XL, tabl. o zmodyfikowanym uwalnianiu, 8 mg,30 szt.,5909990431519
13392,1148,Doxazosinum,Cardura XL, tabl. o zmodyfikowanym uwalnianiu, 8 mg,30 szt.,5909990431519
13393,1149,Doxazosinum,Doxanorm, tabl., 1 mg,30 szt.,5909990854318
13394,1150,Doxazosinum,Doxanorm, tabl., 1 mg,30 szt.,5909990854318
13395,1151,Doxazosinum,Doxanorm, tabl., 2 mg,30 szt.,5909990854417
13396,1152,Doxazosinum,Doxanorm, tabl., 2 mg,30 szt.,5909990854417
13397,1153,Doxazosinum,Doxanorm, tabl., 4 mg,30 szt.,5909990854516
13398,1154,Doxazosinum,Doxanorm, tabl., 4 mg,30 szt.,5909990854516
13399,1155,Doxazosinum,Doxar, tabl., 1 mg,30 szt.,5909990484911
13400,1156,Doxazosinum,Doxar, tabl., 1 mg,30 szt.,5909990484911
13401,1157,Doxazosinum,Doxar, tabl., 2 mg,30 szt.,5909990485017
13402,1158,Doxazosinum,Doxar, tabl., 2 mg,30 szt.,5909990485017
13403,1159,Doxazosinum,Doxar, tabl., 4 mg,120 szt.,5908289660289
13404,1160,Doxazosinum,Doxar, tabl., 4 mg,120 szt.,5908289660289
13405,1161,Doxazosinum,Doxar, tabl., 4 mg,30 szt.,5909990485116
13406,1162,Doxazosinum,Doxar, tabl., 4 mg,30 szt.,5909990485116
13407,1163,Doxazosinum,Doxar XL, tabl. o przedłużonym uwalnianiu, 4 mg,30 szt.,5909990790951
13408,1164,Doxazosinum,Doxar XL, tabl. o przedłużonym uwalnianiu, 4 mg,30 szt.,5909990790951
13409,1165,Doxazosinum,Doxar XL, tabl. o przedłużonym uwalnianiu, 4 mg,90 szt.,5909990884582
13410,1166,Doxazosinum,Doxar XL, tabl. o przedłużonym uwalnianiu, 4 mg,90 szt.,5909990884582
13411,1167,Doxazosinum,Doxazosin XR Genoptim, tabl. o przedł. uwalnianiu, 4 mg,30 szt.,5909990066797
13412,1168,Doxazosinum,Doxazosin XR Genoptim, tabl. o przedł. uwalnianiu, 4 mg,30 szt.,5909990066797
13413,1169,Doxazosinum,Doxonex, tabl., 2 mg,30 szt.,5909991149611
13414,1170,Doxazosinum,Doxonex, tabl., 2 mg,30 szt.,5909991149611
13415,1171,Doxazosinum,Doxonex, tabl., 4 mg,30 szt.,5909991149710
13416,1172,Doxazosinum,Doxonex, tabl., 4 mg,30 szt.,5909991149710
13417,1173,Doxazosinum,Dozox, tabl., 4 mg,30 szt.,5901720140005
13418,1174,Doxazosinum,Dozox, tabl., 4 mg,30 szt.,5901720140005
13419,1175,Doxazosinum,Dozox, tabl., 4 mg,90 szt.,5901720140012
13420,1176,Doxazosinum,Dozox, tabl., 4 mg,90 szt.,5901720140012
13421,1177,Doxazosinum,Kamiren, tabl., 2 mg,30 szt.,5909990491315
13422,1178,Doxazosinum,Kamiren, tabl., 2 mg,30 szt.,5909990491315
13423,1179,Doxazosinum,Kamiren, tabl., 4 mg,30 szt.,5909990491414
13424,1180,Doxazosinum,Kamiren, tabl., 4 mg,30 szt.,5909990491414
13425,1181,Doxazosinum,Kamiren XL, tabl. o zmodyfikowanym uwalnianiu, 4 mg,30 szt.,5909990022571
13426,1182,Doxazosinum,Kamiren XL, tabl. o zmodyfikowanym uwalnianiu, 4 mg,30 szt.,5909990022571
13427,1183,Doxazosinum,Kamiren XL, tabl. o zmodyfikowanym uwalnianiu, 4 mg,60 szt.,5909991013820
13428,1184,Doxazosinum,Kamiren XL, tabl. o zmodyfikowanym uwalnianiu, 4 mg,60 szt.,5909991013820
13429,1185,Doxazosinum,Zoxon 1, tabl., 1 mg,30 szt.,5909990903320
13430,1186,Doxazosinum,Zoxon 1, tabl., 1 mg,30 szt.,5909990903320
13431,1187,Doxazosinum,Zoxon 2, tabl., 2 mg,30 szt.,5909990903429
13432,1188,Doxazosinum,Zoxon 2, tabl., 2 mg,30 szt.,5909990903429
13433,1189,Doxazosinum,Zoxon 4, tabl., 4 mg,30 szt.,5909990903511
13434,1190,Doxazosinum,Zoxon 4, tabl., 4 mg,30 szt.,5909990903511
13435,1191,Doxazosinum,Zoxon 4, tabl., 4 mg,90 szt.,5909990080267
13436,1192,Doxazosinum,Zoxon 4, tabl., 4 mg,90 szt.,5909990080267
13437,1193,Doxycyclinum,Doxycyclinum Polfarmex, kaps. twarde, 100 mg,10 szt.,5909991330576
13438,1194,Doxycyclinum,Doxycyclinum TZF, kaps. twarde, 100 mg,10 szt.,5909990072316
13439,1195,Dulaglutidum,Trulicity, roztwór do wstrzykiwań, 0.75 mg,"2 wstrzykiwacze po 0,5 ml",5909991219130
13440,1196,Dulaglutidum,Trulicity, roztwór do wstrzykiwań, 1.5 mg,"2 wstrzykiwacze po 0,5 ml",5909991219161
13441,1197,Dulaglutidum,Trulicity, roztwór do wstrzykiwań, 3 mg,"2 wstrzykiwacze po 0,5 ml",8594012697638
13442,1198,Dulaglutidum,Trulicity, roztwór do wstrzykiwań, 4.5 mg,"2 wstrzykiwacze po 0,5 ml",8594012697645
13443,1199,Duloxetinum,AuroDulox, kaps. dojelitowe twarde, 30 mg,28 szt.,5909991432980
13444,1200,Duloxetinum,AuroDulox, kaps. dojelitowe twarde, 60 mg,28 szt.,5909991432997
13445,1201,Duloxetinum,Depratal, tabl. dojelitowe, 30 mg,28 szt.,5909991324551
13446,1202,Duloxetinum,Depratal, tabl. dojelitowe, 30 mg,56 szt.,5906414003185
13447,1203,Duloxetinum,Depratal, tabl. dojelitowe, 60 mg,28 szt.,5909991324537
13448,1204,Duloxetinum,Depratal, tabl. dojelitowe, 60 mg,56 szt.,5906414003192
13449,1205,Duloxetinum,Dulofor, kaps. dojelitowe twarde, 30 mg,28 szt.,5909991419776
13450,1206,Duloxetinum,Dulofor, kaps. dojelitowe twarde, 60 mg,28 szt.,5909991419813
13451,1207,Duloxetinum,Duloxetine +pharma, kaps. dojelitowe# twarde, 30 mg,30 szt.,5901720140296
